1.督脈 ,,,,,,,
経絡, 経穴,部位 ,要穴 ,筋肉<神経(筋枝)> ,神経(皮枝) ,血管 ,ランク 
手の陽明大腸経,天鼎 ,前頸部、[[輪状軟骨と同じ高さ]]、[[胸鎖乳突筋の後縁 ]], ,広頭筋<顔面N(頸枝)>/胸鎖乳突筋<副N・頸N叢の枝>/前・中斜角筋<頸N前枝> ,鎖骨上N ,上行頸A浅頸A ,C 
手の陽明大腸経,扶突 ,前頸部、[[甲状軟骨上縁と同じ高さ]]、胸鎖乳突筋の前縁と後縁の間 , ,広頭筋<顔面N(頸枝)>/胸鎖乳突筋<副N・頸N叢の枝>/前斜角筋<頸N前枝> ,鎖骨上N ,胸鎖乳突筋枝(外頸Aの枝) ,A 
手の陽明大腸経,禾髎 ,顔面部、[[人中溝中点]]と同じ高さ、[[鼻孔外縁]]の下方 , ,﻿口輪筋<顔面N(頬筋枝・下顎縁枝)> ,上顎N(三叉N第2枝) ,上唇A ,C 
手の陽明大腸経,迎香 ,顔面部、[[鼻唇溝中]]、鼻翼外縁中点と同じ高さ , ,上唇鼻翼挙筋・上唇挙筋・小頬骨筋<顔面N(頬筋枝)> ,上顎N(三叉N第3枝) ,眼角A ,S 
5.足の陽明胃経 ,,,,,,,
経絡,経穴 ,部位 ,要穴 ,筋肉<神経(筋枝)> ,神経(皮枝) ,血管 ,ランク 
足の陽明胃経 ,承泣 ,顔面部、眼球と[[眼窩下縁]]の間、[[瞳孔線上 ]], ,眼輪筋<顔面N(側頭枝・頬筋枝)> ,上顎N(三叉N第2枝) ,眼窩下A ,S 
足の陽明胃経 ,四白 ,顔面部、[[眼窩下孔部 ]], ,眼輪筋<顔面N(側頭枝・頬筋枝)> ,上顎N(三叉N第2枝) ,眼窩下A ,A 
足の陽明胃経 ,巨髎 ,顔面部、[[瞳孔線上]]、[[鼻翼下縁]]と同じ高さ , ,小頬骨筋<顔面N(頬筋枝)> ,上顎N(三叉N第2枝) ,眼窩下A・顔面Aの技 ,A 
足の陽明胃経 ,地倉 ,顔面部、[[口角の外方４分]](指寸) , ,口輪筋<顔面N(頬筋枝・下顎緑枝)> ,上顎N(三叉N第2枝)/下顎N(三叉N第3枝) ,顔面A ,A 
足の陽明胃経 ,大迎 ,顔面部、下顎角の前方、[[咬筋]]付着部の前方陥凹部、[[顔面動脈上 ]], ,広頸筋<顔面N(頸枝)>/咬筋<下顎N> ,下顎N(三叉N第3枝) ,顔面A ,A 
足の陽明胃経 ,頬車 ,顔面部、[[下顎角の前上方１横指(中指) ]], ,咬筋<下顎N> ,下顎N(三叉N第3枝)/大耳介N ,浅側頭A ,S 
足の陽明胃経 ,下関 ,顔面部、[[頬骨弓の下縁中点]]と下顎切痕の間の陥凹部 , ,咬筋・外側翼突筋<下顎N> ,下顎N(三叉N第3枝) ,顔面横A ,S 
足の陽明胃経 ,頭維 ,頭部、[[額角髪際の直上５分]]、[[前正中線の外方４寸５分 ]], ,前頭筋<顔面N(側頭枝)> ,眼N(三叉N第1枝)/上顎N(三叉N第2枝) ,浅側頭A ,A 
足の陽明胃経 ,人迎 ,前頸部、[[甲状軟骨上縁と同じ高さ]]、[[胸鎖乳突筋の前縁、総頸動脈上 ]], ,広頸筋<顔面N(頸枝)>/胸鎖乳突筋<副N・頸N叢の枝＞ ,頸橫N ,総頸A ,B 
足の陽明胃経 ,水突 ,前頸部、[[輪状軟骨と同じ高さ]]、[[胸鎖乳突筋の前縁 ]], ,広頸筋<顔面N(頸枝)>/胸鎖乳突筋<副N・頸N叢の枝＞ ,頸橫N ,総頸A ,C 
足の陽明胃経 ,気舎 ,前頸部、[[小鎖骨上窩]]で鎖骨胸骨端の上方、胸鎖乳突筋の胸骨頭と鎖骨頭の間の陥凹部 , ,広頸筋<顔面N(頸枝)>/胸鎖乳突筋<副N・頸N叢の枝＞ ,鎖骨上N ,総頸A ,C 
足の陽明胃経 ,欠盆 ,前頸部、[[大鎖骨上窩]]、[[前正中線の外方４寸]]、鎖骨上方の陥凹部 , ,広頸筋<顔面N(頸枝)>/前・中科角筋<頸N前枝> ,鎖骨上N ,鎖骨下A ,B 
足の陽明胃経 ,気戸 ,前胸部、[[鎖骨下縁]]、[[前正中線の外方４寸 ]], ,広頸筋<顔面N(頸枝)>/大胸筋<内側・外側胸筋N>/鎖骨下筋<鎖骨下筋N> ,鎖骨上N ,腋窩A ,C 
足の陽明胃経 ,庫房 ,前胸部、[[第１肋間]]、[[前正中線の外方４寸 ]], ,大胸筋<内側・外側胸筋N> ,鎖骨上N/肋間N(前皮枝) ,胸肩峰A・肋間A ,C 
足の陽明胃経 ,屋翳 ,前胸部、[[第２肋間]]、[[前正中線の外方４寸 ]], ,大胸筋・小胸筋<内側・外側胸筋N> ,肋間N(前皮枝・外側皮枝) ,胸肩峰A・肋間A ,C 
足の陽明胃経 ,膺窓 ,前胸部、[[第３肋間]]、[[前正中線の外方４寸 ]], ,大胸筋・小胸筋<内側・外側胸筋N> ,肋間N(前皮枝・外側皮枝) ,胸肩峰A・肋間A ,C 
足の陽明胃経 ,乳中 ,前胸部、[[乳頭中央 ]], ,大胸筋・小胸筋<内側・外側胸筋N> ,肋間N(前皮枝・外側皮枝) ,胸肩峰A・肋間A ,C 
足の陽明胃経 ,乳根 ,前胸部、[[第５肋間]]、[[前正中線の外方４寸 ]], ,大胸筋<内側・外側胸筋N> ,肋間N(前皮枝・外側皮枝) ,胸肩峰A・肋間A ,A 
足の陽明胃経 ,不容 ,上腹部、臍中央の[[上方６寸]]、[[前正中線の外方２寸 ]], ,腹直筋<肋間N> ,肋間N(前皮枝) ,肋間A・上腹壁A ,B 
足の陽明胃経 ,承満 ,上腹部、臍中央の[[上方５寸]]、[[前正中線の外方２寸 ]], ,腹直筋<肋間N> ,肋間N(前皮枝) ,上腹壁A ,C 
足の陽明胃経 ,梁門 ,上腹部、臍中央の[[上方４寸]]、[[前正中線の外方２寸 ]], ,腹直筋<肋間N> ,肋間N(前皮枝) ,上腹壁A ,S 
足の陽明胃経 ,関門 ,上腹部、臍中央の[[上方３寸]]、[[前正中線の外方２寸 ]], ,腹直筋<肋間N> ,肋間N(前皮枝) ,上腹壁A ,C 
足の陽明胃経 ,太乙 ,上腹部、臍中央の[[上方２寸]]、[[前正中線の外方２寸 ]], ,腹直筋<肋間N> ,肋間N(前皮枝) ,上腹壁A ,C 
足の陽明胃経 ,滑肉門 ,上腹部、臍中央の[[上方１寸]]、[[前正中線の外方２寸 ]], ,腹直筋<肋間N> ,肋間N(前皮枝) ,上腹壁A ,C 
足の陽明胃経 ,天枢 ,上腹部、[[臍中央の外方２寸 ]],【大腸の募穴】 ,腹直筋<肋間N> ,肋間N(前皮枝) ,浅腹壁A・上腹壁A・下腹壁A ,S 
足の陽明胃経 ,外陵 ,下腹部、臍中央の[[下方１寸]]、前正中線の[[外方２寸 ]], ,腹直筋<肋間N> ,肋間N(前皮枝) ,浅腹壁A・下腹壁A ,C 
足の陽明胃経 ,大巨 ,下腹部、臍中央の[[下方２寸]]、前正中線の[[外方２寸 ]], ,腹直筋<肋間N> ,肋間N(前皮枝) ,浅腹壁A・下腹壁A ,A 
足の陽明胃経 ,水道 ,下腹部、臍中央の[[下方３寸]]、前正中線の[[外方２寸 ]], ,腹直筋<肋間N> ,肋間N(前皮枝)・腸骨下腹N(前皮枝) ,浅腹壁A・下腹壁A ,C 
足の陽明胃経 ,帰来 ,下腹部、臍中央の[[下方４寸]]、前正中線の[[外方２寸 ]], ,腹直筋・外腹斜筋・内腹斜筋<肋間N> ,肋間N(前皮枝)・腸骨下腹N(前皮枝) ,浅腹壁A・下腹壁A ,S 
足の陽明胃経 ,気衝 ,鼡径部、[[恥骨結合上縁と同じ高さで]]、前正中線の外方２寸、[[大腿動脈拍動部 ]], ,外腹斜筋・内腹斜筋<肋間N・腸骨下腹N(前皮枝)・腸骨鼡径N> ,肋間N(前皮枝)・腸骨下腹N(前皮枝) ,浅腹壁A・下腹壁A・大腿A ,C 
足の陽明胃経 ,髀関 ,大腿前面、[[３筋]]の近位部の間の陥凹部、[[※３筋：大腿直筋と縫工筋と大腿筋膜張筋 ]], ,縫工筋・大腿直筋<大腿N>/大腿筋膜張筋<上殿N> ,外側大腿皮N ,外側大腿回旋A ,A 
足の陽明胃経 ,伏兎 ,大腿前外側、[[膝蓋骨底外端と上前腸骨棘を結ぶ線上]]、[[膝蓋骨底の上方６寸 ]], ,縫工筋・外側広筋<大腿N> ,外側大腿皮N/大腿N(前皮枝) ,外側大腿回旋A ,A 
足の陽明胃経 ,陰市 ,大腿前外側、大腿直筋腱の外側で[[膝蓋骨底の上方３寸 ]], ,外側広筋<大腿N> ,外側大腿皮N/大腿N(前皮枝) ,外側大腿回旋A ,C 
足の陽明胃経 ,梁丘 ,大腿前外側、外側広筋と大腿直筋腱外縁の間、[[膝蓋骨底の上方２寸 ]],【胃経の郄穴】 ,外側広筋<大腿N> ,外側大腿皮N/大腿N(前皮枝) ,外側大腿回旋A/外側上膝A ,A 
足の陽明胃経 ,犢鼻 ,膝前面、[[膝蓋靱帯外方の陥凹部 ]], ,膝蓋靱帶 ,伏在N膝蓋下枝 ,外側下膝A ,A 
足の陽明胃経 ,足三里 ,下腿前面、[[犢鼻と解渓を結ぶ線上]]、[[犢鼻の下方３寸 ]],【胃経の合土穴】 【四総穴/肚腹】 【胃の下合穴】 ,前脛骨筋<深腓骨N> ,外側腓腹皮N ,前脛骨A ,S 
足の陽明胃経 ,上巨虚 ,下腿前面、[[犢鼻と解渓を結ぶ線上]]、[[犢鼻の下方６寸 ]],【大腸の下合穴】 ,前脛骨筋<深腓骨N> ,外側腓腹皮N ,前脛骨A ,S 
足の陽明胃経 ,条口 ,下腿前面、[[犢鼻と解渓を結ぶ線上]]、[[犢鼻の下方８寸 ]], ,前脛骨筋<深腓骨N> ,外側腓腹皮N ,前脛骨A ,A 
足の陽明胃経 ,下巨虚 ,下腿前面、[[犢鼻と解渓を結ぶ線上]]、[[犢鼻の下方９寸 ]],【小腸の下合穴】 ,前脛骨筋<深腓骨N> ,外側腓腹皮N ,前脛骨A ,B 
